sources: https://en.wikipedia.org/wiki/List_of_file_signatures
[0]             [120]        [162]    [186]       [271]
[46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53]                                                                                  [FORM....SMUS]                            [any]                   [smus,smu,mus,iff]                                                                   [IFF Simple Musical Score]
[46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53]                                                                                  [FORM....CMUS]                            [any]                   [cmus,mus,iff]                                                                       [IFF Musical Score]
[46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E]                                                                                  [FORM....YUVN]                            [any]                   [yuvn,yuv,iff]                                                                       [IFF YUV Image]
[46 4F 52 4D ?? ?? ?? ?? 46 41 4E 54]                                                                                  [FORM....FANT]                            [any]                   [iff]                                                                                [Amiga Fantavision Movie]
[46 4F 52 4D ?? ?? ?? ?? 41 49 46 46]                                                                                  [FORM....AIFF]                            [any]                   [aiff,aif,aifc,snd,iff]                                                              [Audio Interchange File Format]
[49 4E 44 58]                                                                                                          [INDX]                                    [0]                     [idx]                                                                                [Index file to a file or tape containing a backup done with AmiBack on an Amiga.]
[4C 5A 49 50]                                                                                                          [LZIP]                                    [0]                     [lz]                                                                                 [lzip compressed file]
[4D 5A]                                                                                                                [MZ]                                      [0]                     [exe,dll]                                                                            [DOS MZ executable file format and its descendants (including NE and PE)]
[50 4B 03 04]                                                                                                          [PK..]                                    [0]                     [zip,aar,apk,docx,epub,ipa,jar,kmz,maff,odp,ods,odt,pk3,pk4,pptx,usdz,vsdx,xlsx,xpi] [zip file format and formats based on it, such as EPUB, JAR, ODF, OOXML]
[50 4B 05 06]                                                                                                          [PK..]                                    [0]                     [zip,aar,apk,docx,epub,ipa,jar,kmz,maff,odp,ods,odt,pk3,pk4,pptx,usdz,vsdx,xlsx,xpi] [zip file format and formats based on it, such as EPUB, JAR, ODF, OOXML, (empty archive)]
[50 4B 07 08]                                                                                                          [PK..]                                    [0]                     [zip,aar,apk,docx,epub,ipa,jar,kmz,maff,odp,ods,odt,pk3,pk4,pptx,usdz,vsdx,xlsx,xpi] [zip file format and formats based on it, such as EPUB, JAR, ODF, OOXML, (spanned archive)]
[52 61 72 21 1A 07 00]                                                                                                 [Rar!...]                                 [0]                     [rar]                                                                                [RAR archive version 1.50 onwards]
[52 61 72 21 1A 07 01 00]                                                                                              [Rar!....]                                [0]                     [rar]                                                                                [RAR archive version 5.0 onwards]
[5A 4D]                                                                                                                [ZM]                                      [0]                     [exe]                                                                                [DOS ZM executable file format and its descendants (rare)]
[7F 45 4C 46]                                                                                                          [.ELF]                                    [0]                     []                                                                                   [Executable and Linkable Format]
[89 50 4E 47 0D 0A 1A 0A]                                                                                              [.PNG....]                                [0]                     [png]                                                                                [Image encoded in the Portable Network Graphics format]
[C9]                                                                                                                   [È]                                       [0]                     [com]                                                                                [CP/M 3 and higher with overlays]
[CA FE BA BE]                                                                                                          [Êþº¾]                                    [0]                     [class]                                                                              [Java class file, Mach-O Fat Binary]
[EF BB BF]                                                                                                             [ï»¿]                                     [0]                     []                                                                                   [UTF-8 encoded Unicode byte order mark, commonly seen in text files.
[FE ED FA CE]                                                                                                          [........]                                [0,0x1000]              []                                                                                   [Mach-O binary (32-bit)]
[FE ED FA CF]                                                                                                          [........]                                [0,0x1000]              []                                                                                   [Mach-O binary (64-bit)]
[FE ED FE ED]                                                                                                          [þíþí]                                    [0]                     []                                                                                   [JKS JavakeyStore]
[CE FA ED FE]                                                                                                          [........]                                [0]                     []                                                                                   [Mach-O binary (reverse byte ordering scheme, 32-bit)]
[CF FA ED FE]                                                                                                          [........]                                [0]                     []                                                                                   [Mach-O binary (reverse byte ordering scheme, 64-bit)]
[FF FE]                                                                                                                [..]                                      [0]                     []                                                                                   [Byte-order mark for text file encoded in little-endian 16-bit Unicode Transfer Format]
[FF FE 00 00]                                                                                                          [....]                                    [0]                     []                                                                                   [Byte-order mark for text file encoded in little-endian 32-bit Unicode Transfer Format]
[25 21 50 53]                                                                                                          [%!PS]                                    [0]                     [ps]                                                                                 [PostScript document]
[49 54 53 46 03 00 00 00 60 00 00 00]                                                                                  [ITSF....`...]                            [0]                     [chm]                                                                                [MS Windows HtmlHelp Data]
[25 50 44 46 2d]                                                                                                       [%PDF-]                                   [0]                     [pdf]                                                                                [PDF document]
[30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C]                                                                      [0&²u.fÏ.¦Ù.ª.bÎl]                        [0]                     [asf,wma,wmv]                                                                        [Advanced Systems Format]
[24 53 44 49 30 30 30 31]                                                                                              [$SDI0001]                                [0]                     []                                                                                   [System Deployment Image, a disk image format used by Microsoft]
[4F 67 67 53]                                                                                                          [OggS]                                    [0]                     [ogg,oga,ogv]                                                                        [Ogg, an open source media container format]
[38 42 50 53]                                                                                                          [8BPS]                                    [0]                     [psd]                                                                                [Photoshop Document file, Adobe Photoshop's native file format]
[52 49 46 46 ?? ?? ?? ?? 57 41 56 45]                                                                                  [RIFF....WAVE]                            [0]                     [wav]                                                                                [Waveform Audio File Format]
[52 49 46 46 ?? ?? ?? ?? 41 56 49 20]                                                                                  [RIFF....AVI.]                            [0]                     [avi]                                                                                [Audio Video Interleave video format]
[FF FB]                                                                                                                [ÿû]                                      [0]                     [mp3]                                                                                [MPEG-1 Layer 3 file without an ID3 tag or with an ID3v1 tag (which's appended at the end of the file)]
[FF F3]                                                                                                                [ÿó]                                      [0]                     [mp3]                                                                                [MPEG-1 Layer 3 file without an ID3 tag or with an ID3v1 tag (which's appended at the end of the file)]
[FF F2]                                                                                                                [ÿò]                                      [0]                     [mp3]                                                                                [MPEG-1 Layer 3 file without an ID3 tag or with an ID3v1 tag (which's appended at the end of the file)]
[49 44 33]                                                                                                             [ID3]                                     [0]                     [mp3]                                                                                [MP3 file with an ID3v2 container]
[42 4D]                                                                                                                [BM]                                      [0]                     [bmp,dib]                                                                            [BMP file, a bitmap format used mostly in the Windows world]
[43 44 30 30 31]                                                                                                       [CD001]                                   [0x8001,0x8801,0x9001]  [iso]                                                                                [ISO9660 CD/DVD image file]
[53 49 4D 50 4C 45 20 20 3D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54]                            [SIMPLE  =                    T]          [0]                     [fits]                                                                               [Flexible Image Transport System (FITS)]
[66 4C 61 43]                                                                                                          [fLaC]                                    [0]                     [flac]                                                                               [Free Lossless Audio Codec]
[4D 54 68 64]                                                                                                          [MThd]                                    [0]                     [mid,midi]                                                                           [MIDI sound file]
[D0 CF 11 E0 A1 B1 1A E1]                                                                                              []                                        [0]                     [doc,xls,ppt,msg]                                                                    [Compound File Binary Format, a container format used for document by older versions of Microsoft Office.[22] It is however an open format used by other programs as well.]
[64 65 78 0A 30 33 35 00]                                                                                              [dex.035.]                                [0]                     [dex]                                                                                [Dalvik Executable]
[4B 44 4D]                                                                                                             [KDM]                                     [0]                     [vmdk]                                                                               [VMDK files]
[43 72 32 34]                                                                                                          [Cr24]                                    [0]                     [crx]                                                                                [Google Chrome extension or packaged app]
[41 47 44 33]                                                                                                          [AGD3]                                    [0]                     [fh8]                                                                                [FreeHand 8 document]
[05 07 00 00 42 4F 42 4F 05 07 00 00 00 00 00 00 00 00 00 00 00 01]                                                    [....BOBO............]                    [0]                     [cwk]                                                                                [AppleWorks 5 document]
[06 07 E1 00 42 4F 42 4F 06 07 E1 00 00 00 00 00 00 00 00 00 00 01]                                                    [....BOBO............]                    [0]                     [cwk]                                                                                [AppleWorks 6 document
[45 52 02 00 00 00]                                                                                                    [ER....]                                  [0]                     [toast]                                                                              [Roxio Toast disc image file, also some .dmg-files begin with same bytes]
[8B 45 52 02 00 00 00]                                                                                                 [ãER....]                                 [0]                     [toast]                                                                              [Roxio Toast disc image file, also some .dmg-files begin with same bytes]
[78 01 73 0D 62 62 60]                                                                                                 [x.s.bb`]                                 [0]                     [dmg]                                                                                [Apple Disk Image file]
[78 61 72 21]                                                                                                          [xar!]                                    [0]                     [xar]                                                                                [eXtensible ARchive format]
[50 4D 4F 43 43 4D 4F 43]                                                                                              [PMOCCMOC]                                [0]                     [dat]                                                                                [Windows Files And Settings Transfer Repository. See also USMT 3.0 (Win XP) and USMT 4.0 (Win 7) User Guides]
[4E 45 53 1A]                                                                                                          [NES]                                     [0]                     [nes]                                                                                [Nintendo Entertainment System ROM file]
[75 73 74 61 72 00 30 30]                                                                                              [ustar.00]                                [0x101]                 [tar]                                                                                [tar archive]
[75 73 74 61 72 20 20 00]                                                                                              [ustar  .]                                [0x101]                 [tar]                                                                                [tar archive]
[4F 41 52 ??]                                                                                                          [OAR.]                                    [0]                     [oar]                                                                                [OAR file archive format, where ?? is the format version.
[74 6F 78 33]                                                                                                          [TOX]                                     [0]                     [tox]                                                                                [Open source portable voxel file]
[4D 4C 56 49]                                                                                                          [MLVI]                                    [0]                     [MLV]                                                                                [Magic Lantern Video file]
[44 43 4D 01 50 41 33 30]                                                                                              [DCM PA30]                                [0]                     []                                                                                   [Windows Update Binary Delta Compression]
[37 7A BC AF 27 1C]                                                                                                    [7z¼¯']                                   [0]                     [7z]                                                                                 [7-Zip File Format]
[1F 8B]                                                                                                                [..]                                      [0]                     [gz,tar.gz]                                                                          [GZIP compressed file]
[FD 37 7A 58 5A 00]                                                                                                    [²7zXZ..]                                 [0]                     [xz,tar.xz]                                                                          [XZ compression utility. Using LZMA2 compression]
[04 22 4D 18]                                                                                                          [."M.]                                    [0]                     [lz4]                                                                                [LZ4 Frame Format. Remark: LZ4 block format does not offer any magic bytes.]
[4D 53 43 46]                                                                                                          [MSCF]                                    [0]                     [cab]                                                                                [Microsoft Cabinet file]
[53 5A 44 44 88 F0 27 33]                                                                                              [SZDD....]                                [0]                     [*_]                                                                                 [Microsoft compressed file in Quantum format, used prior to Windows XP. File can be decompressed using Extract.exe or Expand.exe distributed with earlier versions of Windows. (Various. (Replacing the last character of the original filename extension with an underscore, e.g. setup.exe becomes setup.ex_))]
[46 4C 49 46]                                                                                                          [FLIF]                                    [0]                     [flif]                                                                               [Free Lossless Image Format]
[1A 45 DF A3]                                                                                                          [.Eß£]                                    [0]                     [mkv,mka,mks,mk3d,webm]                                                              [Matroska media container, including WebM]
[4D 49 4C 20]                                                                                                          [MIL ]                                    [0]                     [stg]                                                                                ["SEAN : Session Analysis" Training file. Also used in compatible software "Rpw : Rowperfect for Windows" and "RP3W : ROWPERFECT3 for Windows".
[41 54 26 54 46 4F 52 4D ?? ?? ?? ?? 44 4A 56]                                                                         [AT&TFORM....DJV]                         [0]                     [djvu,djv]                                                                           [DjVu document. The following byte is either 55 (U) for single-page or 4D (M) for multi-page documents.]
[30 82]                                                                                                                [0.]                                      [0]                     [der]                                                                                [DER encoded X.509 certificate]
[44 49 43 4D]                                                                                                          [DICM]                                    [0x80]                  [dcm]                                                                                [DICOM Medical File Format]
[77 4F 46 46]                                                                                                          [wOFF]                                    [0]                     [woff]                                                                               [WOFF File Format 1.0]
[77 4F 46 32]                                                                                                          [wOF2]                                    [0]                     [woff2]                                                                              [WOFF File Format 2.0]
[3c 3f 78 6d 6c 20]                                                                                                    [<?xml]                                   [0]                     [XML]                                                                                [eXtensible Markup Language when using the ASCII character encoding]
[00 61 73 6d]                                                                                                          [.asm]                                    [0]                     [wasm]                                                                               [WebAssembly binary format]
[cf 84 01]                                                                                                             []                                        [0]                     [lep]                                                                                [Lepton compressed JPEG image]
[43 57 53]                                                                                                             [CWS]                                     [0]                     [swf]                                                                                [flash .swf]
[46 57 53]                                                                                                             [FWS]                                     [0]                     [swf]                                                                                [flash .swf]
[21 3C 61 72 63 68 3E                                                                                                  [!<arch>.]                                [0]                     [deb]                                                                                [linux deb file]
[52 49 46 46 ?? ?? ?? ?? 57 45 42 50]                                                                                  [RIFF....WEBP]                            [0]                     [webp]                                                                               [Google WebP image file, where ?? ?? ?? ?? is the file size. More information on WebP File Header]
[27 05 19 56]                                                                                                          ['..V]                                    [0]                     []                                                                                   [U-Boot / uImage. Das U-Boot Universal Boot Loader.]
[7B 5C 72 74 66 31]                                                                                                    [{\rtf1]                                  [0]                     [rtf]                                                                                [Rich Text Format]
[54 41 50 45]                                                                                                          [TAPE]                                    [0]                     []                                                                                   [Microsoft Tape Format]
[47]                                                                                                                   [G]                                       [.188.]                 [ts,tsv,tsa]                                                                         [MPEG Transport Stream (MPEG-2 Part 1) (!!every 188th byte (include zero index byte)!!)]
[00 00 01 BA]                                                                                                          [....]                                    [0]                     [m2p,vob]                                                                            [MPEG Program Stream (MPEG-1 Part 1 (essentially identical) and MPEG-2 Part 1)]
[00 00 01 BA]                                                                                                          [....]                                    [0]                     [mpg,mpeg]                                                                           [MPEG Program Stream]
[47]                                                                                                                   [G]                                       [0]                     [mpg,mpeg]                                                                           [MPEG Transport Stream]
[00 00 01 B3]                                                                                                          [....]                                    [0]                     [mpg,mpeg]                                                                           [MPEG-1 video and MPEG-2 video (MPEG-1 Part 2 and MPEG-2 Part 2)]
[00 00 00 18 66 74 79 70 69 73 6F 6D]                                                                                  [ftypisom]                                [4]                     [mp4]                                                                                [ISO Base Media file (MPEG-4)]
[78 01]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [No Compression (no preset dictionary)]
[78 5E]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Best speed (no preset dictionary)]
[78 9C]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Default Compression (no preset dictionary)]
[78 DA]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Best Compression (no preset dictionary)]
[78 20]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [No Compression (with preset dictionary)]
[78 7D]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Best speed (with preset dictionary)]
[78 BB]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Default Compression (with preset dictionary)]
[78 F9]                                                                                                                [....]                                    [0]                     [zlib]                                                                               [Best Compression (with preset dictionary)]
[62 76 78 32]                                                                                                          [bvx2]                                    [0]                     [lzfse]                                                                              [LZFSE - Lempel-Ziv style data compression algorithm using Finite State Entropy coding. OSS by Apple.]
[4F 52 43]                                                                                                             [ORC]                                     [0]                     [orc]                                                                                [Apache ORC (Optimized Row Columnar) file format]
[4F 62 6A 01]                                                                                                          [Obj.]                                    [0]                     [avro]                                                                               [Apache Avro binary file format]
[53 45 51 36]                                                                                                          [SEQ6]                                    [0]                     [rc]                                                                                 [RCFile columnar file format]
[65 87 78 56]                                                                                                          [e.xV]                                    [0]                     [p25,obt]                                                                            [PhotoCap Object Templates]
[55 55 aa aa]                                                                                                          [UU¬¬]                                    [0]                     [pcv]                                                                                [PhotoCap Vector]
[78 56 34]                                                                                                             [xV4]                                     [0]                     [pbt,pdt,pea,peb,pet,pgt,pict,pjt,pkt,pmt]                                           [PhotoCap Template]
[50 41 52 31]                                                                                                          [PAR1]                                    [0]                     []                                                                                   [Apache Parquet columnar file format]
[45 4D 58 32]                                                                                                          [EMX2]                                    [0]                     [ez2]                                                                                [Emulator Emaxsynth samples]
[45 4D 55 33]                                                                                                          [EMU3]                                    [0]                     [ez3,iso]                                                                            [Emulator III synth samples]
[1B 4C 75 61]                                                                                                          [.Lua]                                    [0]                     [luac]                                                                               [Lua bytecode]
[62 6F 6F 6B 00 00 00 00 6D 61 72 6B 00 00 00 00]                                                                      [book....mark....]                        [0]                     [alias]                                                                              [macOS file Alias (Symbolic link)]
[5B 5A 6F 6E 65 54 72 61 6E 73 66 65 72 5D]                                                                            [[ZoneTransfer]]                          [0]                     [Identifier]                                                                         [Microsoft Zone Identifier for URL Security Zones]
[52 65 63 65 69 76 65 64]                                                                                              [Received:]                               [0]                     [eml]                                                                                [Email Message var5]
[20 02 01 62 A0 1E AB 07 02 00 00 00]                                                                                  [ ..b .«.....]                            [0]                     [tde]                                                                                [Tableau Datasource]
[37 48 03 02 00 00 00 00 58 35 30 39 4B 45 59]                                                                         [7H......X509KEY]                         [0]                     [kdb]                                                                                [KDB file]
[85 ?? ?? 03]                                                                                                          [..]                                      [0]                     [pgp]                                                                                [PGP file]
[28 B5 2F FD]                                                                                                          [(µ/ý]                                    [0]                     [zst]                                                                                [Zstandard compressed file]
[52 53 56 4B 44 41 54 41]                                                                                              [RSVKDATA]                                [0]                     [rs]                                                                                 [QuickZip rs compressed archive]
[3A 29 0A]                                                                                                             [:).]                                     [0]                     [sml]                                                                                [Smile file]
[4A 6F 79 21]                                                                                                          [Joy!]                                    [0]                     []                                                                                   [Preferred Executable Format]
[31 0A 30 30]                                                                                                          [1.00]                                    [0]                     [srt]                                                                                [SubRip File]
[34 12 AA 55]                                                                                                          [4.ªU]                                    [0]                     [vpk]                                                                                [VPK file, used to store game data for some Source Engine games]
[58 46 49 52]                                                                                                          [XFIR]                                    [0]                     [dcr]                                                                                [Adobe Shockwave]
[2A 2A 41 43 45 2A 3A]                                                                                                 [**ACE**]                                 [0]                     [ace]                                                                                [ACE (compressed file format)]
[60 EA]                                                                                                                [`A]                                      [0]                     [arj]                                                                                [ARJ]
[49 53 63 28]                                                                                                          [ISc(]                                    [0]                     [cab]                                                                                [InstallShield CAB Archive File]
[4B 57 41 4A]                                                                                                          [KWAJ]                                    [0]                     [??_]                                                                                [Windows 3.1x Compressed File]
[53 5A 44 44]                                                                                                          [SZDD]                                    [0]                     [??_]                                                                                [Windows 9x Compressed File]
[5A 4F 4F]                                                                                                             [ZOO]                                     [0]                     [zoo]                                                                                [Zoo (file format)]
[50 31 0A]                                                                                                             [P1.]                                     [0]                     [pbm]                                                                                [Portable bitmap]
[50 32 0A]                                                                                                             [P2.]                                     [0]                     [pgm]                                                                                [Portable Gray Map]
[50 33 0A]                                                                                                             [P3.]                                     [0]                     [ppm]                                                                                [Portable Pixmap]
[D7 CD C6 9A]                                                                                                          [×ÍÆ.]                                    [0]                     [wmf]                                                                                [Windows Metafile]
[67 69 6D 70 20 78 63 66]                                                                                              [gimp xcf]                                [0]                     [xcf]                                                                                [XCF (file format)]
[2F 2A 20 58 50 4D 20 2A 2F]                                                                                           [/* XPM */]                               [0]                     [xpm]                                                                                [X PixMap]
[41 46 46]                                                                                                             [AFF]                                     [0]                     [aff]                                                                                [Advanced Forensics Format]
[45 56 46 32]                                                                                                          [EVF2]                                    [0]                     [Ex01]                                                                               [EnCase EWF version 2 format]
[45 56 46]                                                                                                             [EVF]                                     [0]                     [e01]                                                                                [EnCase EWF version 1 format]
[51 46 49]                                                                                                             [QFI]                                     [0]                     [qcow]                                                                               [qcow file format]
[52 49 46 46 ?? ?? ?? ?? 41 43 4F 4E]                                                                                  [RIFF....ACON]                            [8]                     [ani]                                                                                [Animated cursor]
[52 49 46 46 ?? ?? ?? ?? 43 44 44 41]                                                                                  [RIFF....CDDA]                            [8]                     [cda]                                                                                [Compact Disc Digital Audio]
[52 49 46 46 ?? ?? ?? ?? 51 4C 43 4D]                                                                                  [RIFF....QLCM]                            [8]                     [qcp]                                                                                [Qualcomm PureVoice file format]
[58 46 49 52 ?? ?? ?? ?? 33 39 56 4D]                                                                                  [XFIR....39VM]                            [8]                     [dir]                                                                                [Macromedia Director file format]
[46 4C 56]                                                                                                             [FLV]                                     [0]                     [flv]                                                                                [Flash Video file]
[3C 3C 3C 20 4F 72 61 63 6C 65 20 56 4D 20 56 69 72 74 75 61 6C 42 6F 78 20 44 69 73 6B 20 49 6D 61 67 65 20 3E 3E 3E] [<<< Oracle VM VirtualBox Disk Image >>>] [0]                     [vdi]                                                                                [VirtualBox Virtual Hard Disk file format]
[63 6F 6E 6E 65 63 74 69 78]                                                                                           [connectix]                               [0]                     [vhd]                                                                                [Windows Virtual PC Virtual Hard Disk file format]
[76 68 64 78 66 69 6C 65]                                                                                              [vhdxfile]                                [0]                     [vhdx]                                                                               [Windows Virtual PC Windows 8 Virtual Hard Disk file format]
[49 73 5A 21]                                                                                                          [IsZ!]                                    [0]                     [isz]                                                                                [compressed ISO image]
[44 41 41]                                                                                                             [DAA]                                     [0]                     [daa]                                                                                [Direct Access Archive PowerISO]
[4C 66 4C 65]                                                                                                          [LfLe]                                    [0]                     [evt]                                                                                [Windows Event Viewer file format]
[50 4D 43 43]                                                                                                          [PMCC]                                    [0]                     [grp]                                                                                [Windows 3.x Program Manager Program Group file format]
[4B 43 4D 53]                                                                                                          [KCMS]                                    [0]                     [icm]                                                                                [ICC profile]
[72 65 67 66]                                                                                                          [regf]                                    [0]                     [dat]                                                                                [Windows Registry file]
[21 42 44 4E]                                                                                                          [!BDN]                                    [0]                     [pst]                                                                                [Microsoft Outlook Personal Storage Table file]
[<END>]
